CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
127,Male,26.18,34.06,38.85
128,Male,28.85,36.6,35.15
129,Male,18.0,40.6,29.04
130,Female,30.72,36.98,29.89
131,Female,26.69,30.7,23.98
132,Female,22.92,40.41,29.89
133,Male,28.16,33.63,28.27
134,Female,36.35,42.84,31.94
135,Female,25.91,34.48,25.04
136,Male,26.24,49.3,33.12
137,Female,22.7,35.3,39.2
138,Female,20.75,38.07,29.35
139,Male,29.15,44.88,32.41
140,Male,20.72,32.61,34.14
141,Male,25.36,41.36,27.59
142,Female,22.61,47.84,31.34
143,Female,27.39,30.36,30.08
144,Female,26.67,41.11,30.59
145,Male,30.19,41.56,25.36
146,Male,22.45,44.69,30.15
147,Female,23.65,32.58,32.99
148,Female,20.11,32.08,38.71
149,Male,22.78,43.13,35.76
150,Male,26.89,41.78,42.92
151,Male,28.78,41.5,25.4
152,Male,20.39,42.08,35.23
153,Female,29.35,35.92,31.1
154,Male,31.78,41.39,43.14
155,Female,27.07,41.76,25.15
156,Female,34.38,35.71,24.96
157,Female,21.13,51.19,26.4
158,Male,18.78,42.84,17.26
159,Male,18.0,32.85,26.85
160,Male,32.48,43.94,25.45
161,Male,28.27,34.15,30.9
162,Female,24.72,44.72,32.05
163,Male,26.4,46.95,41.26
164,Male,19.37,35.08,35.7
165,Female,37.23,45.78,26.54
166,Male,25.65,42.48,24.61
167,Female,25.55,44.93,32.95
168,Female,28.63,51.38,22.08
169,Female,27.41,38.53,40.99
170,Female,26.12,35.48,37.08
171,Female,21.05,34.66,27.18
172,Female,27.36,35.11,19.72
173,Female,34.41,39.54,38.12
174,Female,31.73,42.05,29.31
175,Male,32.97,41.66,37.43
176,Male,22.44,44.96,20.43
177,Male,20.05,40.08,26.4
178,Male,24.37,48.72,30.03
179,Female,25.28,38.41,30.28
180,Male,30.47,56.32,27.3
181,Female,18.0,43.75,33.74
182,Male,32.65,34.86,23.59
183,Male,24.21,33.57,29.15
184,Male,22.87,42.89,30.72
185,Female,19.94,38.66,33.09
186,Male,18.0,44.28,34.27
187,Female,29.12,42.84,23.25
188,Female,25.37,39.56,20.8
189,Male,18.55,34.92,37.67
190,Male,18.52,30.91,31.99
191,Male,23.32,37.32,25.51
192,Female,33.35,45.14,39.31
193,Male,23.7,41.28,30.69
194,Female,18.0,32.53,37.08
195,Female,23.77,41.04,30.41
196,Male,23.64,42.31,42.36
197,Male,18.0,34.7,40.53
198,Female,24.73,40.92,28.51
199,Female,23.85,40.35,35.83
200,Female,28.48,33.14,33.87
201,Male,34.24,42.15,38.21
202,Female,30.63,43.36,24.21
203,Male,23.66,46.5,34.12
204,Female,19.47,46.32,36.35
205,Female,37.87,31.73,19.45
206,Male,25.3,34.37,22.9
207,Female,25.07,43.09,17.76
208,Male,24.88,43.08,28.38
209,Male,25.99,43.09,34.31
210,Female,24.28,63.12,39.01
211,Male,22.13,43.43,30.44
212,Male,22.27,46.81,39.77
213,Female,24.84,45.72,21.72
214,Male,22.28,43.91,19.78
215,Male,21.44,38.11,29.67
216,Male,25.53,44.55,32.3
217,Female,23.73,35.36,29.8
218,Male,32.52,38.58,17.6
219,Female,18.0,37.09,29.47
220,Female,30.46,40.49,22.17
221,Male,31.23,53.89,34.02
222,Male,18.0,28.8,32.2
223,Male,23.29,44.12,24.36
224,Female,23.14,30.32,26.92
225,Male,18.0,37.17,23.64
226,Female,45.72,75.33,67.99
227,Male,39.68,89.93,84.48
228,Female,41.3,75.77,73.91
229,Female,47.79,74.33,81.86
230,Female,39.05,93.82,78.11
231,Female,48.67,85.91,72.78
232,Female,38.24,76.43,66.52
233,Male,48.33,81.31,69.86
234,Male,37.25,91.68,68.67
235,Female,41.91,84.15,62.71
236,Female,54.48,87.72,73.9
237,Male,53.54,84.83,79.4
238,Female,42.94,85.58,68.21
239,Female,46.95,80.24,82.98
240,Female,51.02,80.07,60.65
241,Male,48.41,81.6,76.33
242,Male,43.63,84.41,80.03
243,Female,41.26,78.3,68.78
244,Female,49.34,80.73,68.88
245,Male,50.65,78.14,76.26
246,Male,53.58,80.69,73.04
247,Female,36.56,72.49,58.02
248,Female,38.73,95.64,64.94
249,Male,50.81,75.6,69.92
250,Male,37.24,77.83,61.78
251,Male,51.19,75.08,67.15
252,Female,43.93,83.69,61.93
253,Male,42.4,78.82,67.78
254,Female,46.03,74.22,67.98
255,Male,38.27,83.94,72.11
256,Male,49.12,84.75,69.45
257,Male,53.45,79.6,73.02
258,Male,49.35,76.02,72.3
259,Female,43.77,93.15,76.19
260,Female,37.31,82.04,75.24
261,Male,37.5,72.36,74.61
262,Female,38.35,88.48,88.63
263,Male,44.94,74.87,72.08
264,Male,45.57,96.45,85.56
265,Male,49.34,80.48,72.47
266,Male,36.02,86.08,69.5
267,Female,51.56,67.52,67.76
268,Male,48.47,72.3,79.06
269,Male,43.37,88.0,79.84
270,Female,39.05,81.91,73.6
271,Male,51.25,92.25,76.8
272,Male,43.5,82.91,62.34
273,Male,44.9,80.87,60.71
274,Female,46.92,90.28,77.48
275,Male,40.43,86.06,69.24
276,Female,43.59,78.82,74.5
277,Male,49.33,73.44,65.7
278,Male,48.82,65.77,79.94
279,Female,48.87,77.37,60.76
280,Male,39.22,72.88,61.69
281,Male,43.82,95.59,78.67
282,Female,43.02,76.1,54.34
283,Female,47.13,75.93,72.27
284,Female,46.68,70.87,69.36
285,Female,45.78,78.4,65.58
286,Female,57.33,76.01,68.8
287,Male,43.55,90.43,64.91
288,Female,42.96,81.01,79.25
289,Male,39.22,79.95,80.83
290,Male,37.31,79.19,65.89
291,Male,38.9,84.72,71.65
292,Female,41.41,77.29,62.05
293,Female,51.55,84.0,76.44
294,Male,45.2,89.68,76.28
295,Female,45.97,82.76,68.23
296,Female,44.52,78.5,70.1
297,Female,46.83,74.28,69.44
298,Female,52.01,78.35,60.29
299,Male,35.03,83.38,79.28
300,Male,51.09,70.8,65.4
301,Female,32.42,84.99,65.44
302,Male,45.14,81.25,69.1
303,Female,55.96,79.1,75.97
304,Female,48.4,76.04,66.45
305,Male,46.87,77.14,58.29
306,Male,55.01,83.58,64.68
307,Male,41.48,79.23,72.54
308,Female,47.17,76.99,83.14
309,Male,47.89,82.81,62.44
310,Female,42.39,83.05,62.22
311,Male,42.83,72.5,60.92
312,Male,42.28,83.43,60.18
313,Female,45.44,95.01,77.23
314,Female,47.73,82.82,78.97
315,Female,45.62,69.81,71.07
316,Female,48.55,81.06,67.19
317,Female,35.15,69.02,80.75
318,Female,43.91,99.0,71.04
319,Female,39.88,93.41,76.54
320,Female,46.51,76.0,66.9
321,Male,46.43,66.53,70.27
322,Female,44.42,74.73,62.58
323,Female,47.55,78.91,73.78
324,Male,49.99,69.43,71.15
325,Female,44.7,79.59,64.63
326,Male,39.74,78.87,64.71
327,Male,37.09,80.75,79.7
328,Female,45.18,81.38,81.83
329,Male,46.21,74.21,68.72
330,Female,40.15,74.88,70.41
331,Male,48.63,80.27,72.4
332,Male,42.71,76.21,70.89
333,Male,36.72,85.44,59.95
334,Female,51.28,80.22,72.57
335,Female,50.72,91.19,57.47
336,Male,34.92,84.92,65.6
337,Male,42.19,86.62,73.03
338,Female,41.99,80.8,73.6
339,Female,53.2,80.94,65.14
340,Male,44.5,90.39,67.25
341,Male,37.52,77.73,66.44
342,Female,49.41,83.28,69.38
343,Female,38.85,78.4,69.84
344,Female,43.7,78.39,74.01
345,Female,41.15,72.99,66.9
346,Female,42.2,75.54,72.24
347,Male,49.69,74.43,73.04
348,Female,52.61,83.57,71.19
349,Male,38.63,86.24,68.44
350,Female,48.13,79.43,71.08
351,Male,41.34,81.38,74.51
352,Female,41.49,79.09,75.04
353,Female,47.45,75.14,80.89
354,Male,39.86,85.17,64.06
355,Male,47.35,83.92,67.36
356,Female,48.65,68.64,60.32
357,Female,42.84,78.3,75.59
358,Female,51.64,74.71,67.99
359,Female,38.64,77.65,71.24
360,Female,51.73,75.98,66.37
361,Male,35.28,79.72,68.04
362,Male,58.5,78.02,77.34
363,Female,42.97,77.89,74.17
364,Male,39.19,86.64,69.33
365,Male,43.84,83.34,74.61
366,Male,39.77,75.78,74.74
367,Female,46.93,76.67,67.65
368,Male,51.84,82.95,61.19
369,Female,40.03,82.94,64.61
370,Male,47.9,76.38,61.96
371,Female,37.34,78.6,76.99
372,Male,50.16,91.08,78.03
373,Female,47.08,76.48,79.52
374,Female,50.38,91.46,57.88
375,Male,44.39,86.62,76.43
376,Female,42.82,90.35,83.27
377,Female,49.08,76.23,76.67
378,Female,38.46,78.99,57.09
379,Female,36.29,77.31,80.61
380,Female,44.98,86.76,70.25
381,Female,43.05,76.59,68.61
382,Female,47.77,84.39,72.71
383,Female,50.46,84.07,63.71
384,Male,47.67,79.71,70.02
385,Male,50.06,87.79,79.72
386,Female,46.61,80.65,73.73
387,Female,47.47,85.0,70.35
388,Male,44.42,77.03,70.54
389,Male,47.33,75.66,62.91
390,Male,45.83,84.39,69.1
391,Female,46.63,82.59,60.19
392,Male,44.17,81.46,76.13
393,Female,49.04,77.94,56.89
394,Female,41.45,89.3,75.13
395,Male,44.91,73.3,75.88
396,Female,51.56,72.97,77.91
397,Female,40.26,85.65,70.52
398,Female,34.19,85.16,75.5
399,Female,46.83,82.12,69.04
400,Male,43.72,78.27,62.88
401,Male,50.05,83.01,79.18
402,Female,44.35,90.32,69.42
403,Female,41.98,95.09,61.54
404,Male,44.62,70.06,67.2
405,Female,50.47,77.49,67.44
406,Male,47.88,77.11,72.77
407,Female,32.83,89.76,84.08
408,Female,45.93,65.11,73.13
409,Male,46.18,83.08,71.24
410,Male,44.91,78.46,84.73
411,Male,41.95,89.83,75.87
412,Male,50.97,89.01,71.53
413,Female,51.22,82.19,67.12
414,Male,33.98,70.52,71.9
415,Female,41.01,76.56,69.6
416,Male,44.28,77.21,70.55
417,Male,49.74,72.04,77.89
418,Female,45.17,86.93,66.76
419,Male,41.58,71.28,73.08
420,Male,48.55,91.79,75.69
421,Male,43.94,91.78,66.03
422,Male,44.41,77.69,65.06
423,Female,44.86,81.97,69.1
424,Female,47.87,79.57,67.23
425,Male,43.46,85.41,76.91
426,Male,48.43,87.65,63.99
427,Male,44.63,81.55,70.41
428,Female,39.66,82.81,85.28
429,Female,44.82,76.28,72.48
430,Female,39.92,82.62,73.48
431,Female,45.2,80.98,76.96
432,Male,49.15,74.53,67.22
433,Male,39.63,79.92,63.51
434,Male,46.82,77.7,71.06
435,Female,40.85,76.34,71.59
436,Male,46.01,73.12,60.29
437,Female,49.3,80.38,72.25
438,Female,34.35,75.32,76.42
439,Male,39.43,77.17,64.52
440,Male,43.16,86.45,72.61
441,Male,46.58,83.79,75.35
442,Female,44.17,74.13,73.52
443,Female,44.77,82.11,74.09
444,Male,55.21,80.8,68.53
445,Male,38.94,90.21,63.23
446,Female,50.68,88.3,67.32
447,Male,43.25,70.8,66.48
448,Female,47.75,85.17,69.52
449,Female,55.64,87.59,76.56
450,Male,48.44,83.36,62.13
451,Male,55.9,116.83,42.09
452,Male,59.88,124.63,46.98
453,Female,51.8,108.62,41.59
454,Female,51.84,121.02,43.85
455,Male,59.04,126.2,43.92
456,Female,57.26,118.83,56.13
457,Female,60.53,117.79,29.14
458,Male,59.33,122.41,35.87
459,Male,60.15,118.85,48.84
460,Female,63.04,128.34,37.89
461,Male,57.68,113.33,45.31
462,Male,58.9,119.69,41.38
463,Female,67.28,121.23,52.63
464,Male,60.02,117.73,33.32
465,Male,59.1,102.77,47.33
466,Male,60.41,119.03,50.5
467,Male,59.19,125.4,33.91
468,Male,56.45,124.67,44.7
469,Female,55.01,122.13,34.21
470,Female,56.18,113.41,40.18
471,Male,64.36,122.37,38.46
472,Female,56.85,116.56,25.58
473,Male,59.23,122.12,42.55
474,Male,63.5,120.73,40.86
475,Male,58.61,114.14,48.87
476,Male,63.17,114.65,43.67
477,Male,52.3,122.13,53.75
478,Female,59.34,118.67,40.64
479,Female,60.39,114.96,39.37
480,Male,60.12,114.46,38.89
481,Female,51.74,118.18,37.36
482,Male,66.02,129.41,26.75
483,Female,55.73,116.84,38.68
484,Male,61.68,119.92,27.59
485,Female,60.04,120.61,42.71
486,Male,65.02,113.21,32.56
487,Male,70.0,109.42,34.63
488,Female,53.55,113.84,35.98
489,Female,56.76,121.48,38.77
490,Male,60.95,120.52,40.04
491,Female,54.47,124.21,46.51
492,Male,63.91,120.58,36.53
493,Female,64.22,119.34,42.88
494,Female,62.8,116.38,56.39
495,Male,61.18,125.31,42.26
496,Female,66.85,114.48,38.92
497,Female,54.22,113.34,35.33
498,Male,60.33,123.4,38.83
499,Female,56.31,112.0,34.68
500,Male,64.45,134.49,41.61
501,Male,50.83,120.48,40.62
502,Male,59.86,122.09,27.03
503,Male,61.68,115.15,39.89
504,Male,55.26,118.11,46.46
505,Female,56.87,117.44,37.61
506,Male,60.08,116.75,36.08
507,Male,64.78,123.8,31.73
508,Female,54.84,117.3,28.85
509,Female,55.71,126.11,44.99
510,Female,65.63,135.98,38.91
511,Male,58.64,118.23,44.63
512,Male,56.11,120.91,49.19
513,Male,63.64,122.28,45.53
514,Female,57.56,130.87,36.75
515,Male,65.14,119.5,40.87
516,Female,56.68,115.03,36.31
517,Male,59.2,112.4,35.75
518,Female,64.72,119.65,42.06
519,Male,58.87,117.31,35.01
520,Male,63.78,132.06,26.75
521,Male,59.67,130.62,34.67
522,Female,69.91,113.79,38.16
523,Female,67.84,115.74,49.13
524,Male,53.36,120.44,37.05
525,Male,62.61,128.38,43.07
526,Male,55.92,120.34,38.99
527,Female,60.96,116.12,47.36
528,Male,60.34,119.65,46.94
529,Male,54.72,116.23,47.06
530,Male,65.29,123.61,29.6
531,Male,61.02,115.75,41.24
532,Female,58.58,116.94,44.55
533,Female,57.81,126.97,42.29
534,Male,60.7,115.39,43.82
535,Male,62.04,111.32,40.35
536,Female,59.38,120.57,35.53
537,Female,45.84,117.84,29.82
538,Male,60.08,123.07,36.13
539,Female,52.79,121.9,56.07
540,Female,58.95,119.81,37.09
541,Male,52.98,119.63,28.24
542,Female,52.92,115.58,44.4
543,Female,66.18,120.5,45.13
544,Male,58.4,125.29,47.72
545,Male,58.02,114.16,42.83
546,Female,62.41,119.97,45.07
547,Male,58.15,126.23,51.04
548,Female,70.0,123.03,35.53
549,Male,58.63,127.86,34.34
550,Female,61.83,116.59,33.43
551,Male,64.85,109.02,38.41
552,Female,68.01,121.2,48.6
553,Female,56.29,122.18,43.17
554,Female,57.91,128.21,42.93
555,Male,66.37,127.13,29.08
556,Male,64.05,123.22,35.84
557,Female,65.38,124.59,28.99
558,Female,53.16,118.85,47.03
559,Male,67.74,112.69,49.51
560,Male,56.19,120.71,44.68
561,Male,60.96,125.9,34.08
562,Male,59.26,123.94,48.89
563,Male,55.61,125.0,38.48
564,Male,52.94,117.43,32.71
565,Female,51.28,118.41,34.21
566,Male,60.6,122.9,37.42
567,Female,52.37,116.72,40.3
568,Male,54.33,116.91,39.03
569,Male,58.91,121.79,31.52
570,Female,46.81,124.57,47.28
571,Female,63.89,118.8,39.1
572,Male,47.95,113.02,35.72
573,Female,59.61,115.59,46.66
574,Female,60.08,121.22,32.9
575,Female,62.69,121.15,30.23
576,Female,59.79,121.45,47.63
577,Male,70.0,123.13,51.35
578,Female,61.08,120.03,37.23
579,Male,65.27,121.59,39.72
580,Male,56.38,119.73,33.12
581,Male,60.6,126.89,40.03
582,Male,67.74,128.59,37.15
583,Female,58.81,112.87,39.39
584,Female,60.96,118.47,42.46
585,Male,64.9,120.2,33.41
586,Male,56.29,118.4,37.83
587,Male,49.19,130.76,29.18
588,Male,61.28,121.34,37.87
589,Female,64.94,115.17,39.44
590,Male,53.24,123.58,41.37
591,Female,63.35,121.63,41.44
592,Male,63.38,121.83,45.42
593,Male,48.63,130.85,30.76
594,Male,55.32,122.1,31.08
595,Male,58.02,118.18,43.17
596,Female,59.1,108.27,27.77
597,Female,56.28,119.01,41.1
598,Female,56.01,127.84,32.92
599,Male,68.36,119.45,49.44
600,Male,59.46,106.56,41.5
601,Female,56.52,117.01,38.69
602,Female,59.79,125.96,47.37
603,Male,62.69,123.27,33.62
604,Male,60.26,114.96,34.76
605,Female,58.97,116.61,32.43
606,Male,56.75,117.54,34.81
607,Male,56.69,116.02,40.37
608,Female,57.01,107.82,42.96
609,Male,61.69,124.58,45.77
610,Female,55.03,127.54,29.05
611,Male,61.97,110.89,38.97
612,Female,67.06,127.46,33.35
613,Male,61.63,119.38,38.77
614,Female,58.15,127.35,54.0
615,Female,53.51,120.23,41.75
616,Female,67.89,120.81,45.4
617,Female,54.15,122.23,51.76
618,Male,64.24,115.26,46.76
619,Male,63.19,127.17,37.31
620,Female,58.82,113.27,32.35
621,Male,58.69,117.59,39.82
622,Male,50.82,123.15,36.59
623,Male,61.65,116.94,30.85
624,Male,63.1,124.67,41.45
625,Male,54.55,128.26,41.6
626,Female,59.22,126.08,50.61
627,Female,60.19,108.38,37.83
628,Female,62.92,120.76,41.68
629,Female,60.02,126.17,36.01
630,Male,51.87,112.1,45.24
631,Male,57.35,124.34,39.25
632,Female,61.12,124.0,32.96
633,Male,64.21,112.73,39.92
634,Male,56.91,125.01,42.34
635,Female,70.0,121.64,41.53
636,Male,50.53,123.9,46.28
637,Female,57.18,114.2,31.31
638,Female,59.58,120.9,34.94
639,Male,59.0,109.77,43.84
640,Male,53.84,106.34,35.65
641,Female,62.24,120.84,41.44
642,Female,61.86,126.6,25.48
643,Male,60.24,121.52,56.3
644,Female,61.66,119.62,38.38
645,Female,57.88,118.87,47.16
646,Female,51.91,114.34,37.98
647,Male,56.42,118.67,42.49
648,Female,60.79,122.53,48.95
649,Male,60.81,117.39,46.99
650,Female,60.21,124.5,38.77
651,Male,62.74,121.18,39.19
652,Female,57.09,121.9,46.02
653,Male,60.13,125.33,54.0
654,Male,62.86,116.84,41.15
655,Male,59.58,123.96,51.74
656,Female,53.78,117.68,38.55
657,Female,55.19,122.04,45.71
658,Female,64.15,116.13,46.61
659,Male,66.96,114.54,37.54
660,Female,65.88,120.55,35.52
661,Male,61.16,108.69,46.87
662,Female,53.98,118.22,36.81
663,Male,59.97,110.36,34.63
664,Male,67.81,124.68,35.9
665,Male,63.09,126.3,36.79
666,Female,58.96,114.82,45.14
667,Female,63.14,122.57,43.09
668,Female,53.65,125.39,44.29
669,Male,56.52,125.41,42.53
670,Male,54.58,121.29,36.44
671,Female,62.35,124.41,44.18
672,Female,63.57,116.1,47.09
673,Female,59.23,120.5,43.51
674,Male,55.64,117.2,42.7
675,Male,59.9,115.6,35.4
676,Male,57.57,120.22,41.27
